Sand;Silt;Clay;Li670;Mg518;Si288;Fe330;CN383;Na819;Textural_group;Group
70.2;20;9.8;548.375;412.75;4722.5;86.625;379.125;532.875;Loamy;Loamy
60.2;18;21.8;1979.375;2068.375;6977.25;85.25;1952.875;1082.625;Loamy;Loamy
78.9;18;3.1;1125.75;660.625;4966.875;62.375;546.375;541.5;Sandy;Sandy
80.3;15.9;3.8;1075.875;587.875;4624.875;113;382.125;534.875;Sandy;Sandy
78.9;14;7.1;471.5;311.125;4767.5;-14;244.75;69.125;Sandy;Sandy
77;13.9;9.1;717;706.625;5849;91.625;613.125;254.5;Sandy;Sandy
74.3;13.9;11.8;856.25;1158.125;5389.25;90.875;1149.375;590.625;Sandy;Sandy
79;13.9;7.1;1033.5;841.375;7330.75;65.125;872;575.875;Sandy;Sandy
78.9;12;9.1;1367.75;993.75;6431.75;65.625;898.875;582.25;Sandy;Sandy
7;12;81;2525.125;3306.5;8182.75;407.375;2719.625;2142.875;Clayey;Clayey
78.3;11.9;9.8;703;483.25;5834;58.75;476;229;Sandy;Sandy
84.9;10;5.1;936.5;643.25;6293.875;107.5;574.875;630.5;Sandy;Sandy
79;10;11;1137.875;1059.625;5721.75;69.875;773.375;350.125;Sandy;Sandy
84.9;10;5.1;786.375;736.125;5138.25;70.75;657.875;467.625;Sandy;Sandy
77;9.9;13.1;2237;2070.125;8211.25;119;1761;756.125;Sandy;Sandy
88.9;8;3.1;767.625;518.5;5654.75;81.5;500.375;610.875;Sandy;Sandy
82.2;8;9.8;1014.875;853.125;7119.875;124.375;767;654.5;Sandy;Sandy
86.9;8;5.1;1169.875;532.75;5576.25;77.5;589.5;353.5;Sandy;Sandy
84.9;8;7.1;1251.75;721.5;5263.5;61.375;636.125;409.625;Sandy;Sandy
86.9;8;5.1;836.625;492.375;7172.125;98.25;481.75;656.5;Sandy;Sandy
76.9;8;15.1;1626.375;2309;8478.25;208.5;1912.625;1242.625;Sandy;Sandy
87;7.9;5.1;1279.875;1102.625;7070.25;45.125;1175.75;367.625;Sandy;Sandy
86.9;6;7.1;708.75;638.25;5385;64.25;500.75;515.5;Sandy;Sandy
90.9;6;3.1;1086.375;824.625;4764.875;72.875;685.25;589.75;Sandy;Sandy
84.9;6;9.1;776.125;628.625;6236;138.125;632.875;881.5;Sandy;Sandy
92.9;6;1.1;823.25;731.625;4342.125;88.125;602.125;506.625;Sandy;Sandy
86.9;6;7.1;1028.375;704.25;5515.125;98.625;572.25;565;Sandy;Sandy
88.9;6;5.1;813.5;509.125;5081.625;96.75;375.375;499.875;Sandy;Sandy
91;5.9;3.1;991;1002.75;6216;87.25;798.5;782.875;Sandy;Sandy
88.9;4;7.1;883.875;1049.5;6800.5;115.625;900.375;1007.75;Sandy;Sandy
92.9;4;3.1;809.125;692.125;5332.875;89.75;522.5;500.625;Sandy;Sandy
90.9;4;5.1;1046.25;792.25;5927.25;173;664.5;704.5;Sandy;Sandy
88.9;4;7.1;1047;857;4715.5;120.75;574.375;563.75;Sandy;Sandy
90.9;4;5.1;787.625;666.5;6442.5;186;689.5;1091.125;Sandy;Sandy
